ID        	Decoded_String
--------------------------------------------------
11        	,
279       	 the
13        	.
323       	 and
315       	 of
311       	 to
220       	 
264       	 a
15        	0
16        	1
304       	 in
17        	2
624       	.\n
374       	 is
198       	\n
369       	 for
429       	 that
594       	's
448       	 with
389       	 on
320       	 (
18        	3
24        	9
20        	5
25        	:
432       	 it
358       	 I
19        	4
438       	 as
498       	 you
387       	 be
23        	8
525       	 are
572       	 was
21        	6
22        	7
518       	 at
553       	 by
330       	 "
576       	 The
504       	 from
8         	)
419       	 this
614       	 have
476       	 or
12        	-
458       	 an
537       	 not
686       	 will
59        	\
646       	 can
702       	 has
582       	 we
785       	The
697       	 your
90        	{
714       	 but
806       	 his
1         	"
678       	 all
862       	 their
566       	 he
807       	 they
944       	't
803       	 more
892       	 which
825       	 one
400       	 $
1124      	 \
911       	 about
262       	   
879       	 who
1039      	 our
1033      	 were
26        	;
1083      	 also
700       	 out
14        	/
1012      	 been
1030      	 had
705       	 up
421       	 if
773       	 so
847       	 my
882       	 time
284       	 =
1059      	 her
481       	 -
6         	'
82        	s
1035      	 would
501       	 new
979       	 when
1008      	 other
1052      	 there
1181      	 its
362       	 A
1084      	 It
1075      	 like
653       	 do
1128      	 what
92        	}
1119      	 into
364       	 '
286       	       
1091      	 than
1105      	 them
1053      	 said
1045      	 some
758       	 In
1251      	 people
1365      	 –
287       	ing
40        	I
1156      	 first
340       	)\n
609       	 &
30        	?
1101      	 just
32        	A
916       	 over
197       	\t
902       	 no
3         	$
894       	 any
1172      	 only
633       	 get
64        	a
701       	),
382       	.\n\n
1378      	 two
1340      	 she
1096      	 This
1246      	 how
752       	 me
1335      	,"
409       	 de
1429      	 most
1493      	 these
975       	 work
1635      	 years
1231      	 may
291       	ed
1283      	 after
1632      	 well
1281      	 make
258       	in
72        	i
5267      	?\n
1205      	 We
1260      	 He
568       	).
990       	 use
1380      	 where
1526      	 through
1410      	 could
1221      	 then
62        	_
1657      	 many
1741      	 such
328       	 S
0         	!
1042      	 year
1602      	 very
1616      	 way
425       	 B
428       	="
1431      	 now
601       	 us
15159     	_{
280       	;\n
356       	 C
532       	}\n
1576      	 because
386       	 M
1182      	 back
7         	(
341       	 {\n
1435      	 him
1414      	 know
1265      	 should
1490      	 see
1496      	 even
10040     	."\n
1660      	 being
1184      	 need
422       	 D
641       	In
1753      	 much
397       	>\n
339       	th
1865      	 made
2299      	're
1846      	 those
715       	 \n
271       	\n\n
310       	           
1573      	 before
1661      	 good
366       	 <
444       	 L
350       	 T
1483      	 used
472       	 H
1879      	 world
393       	 P
431       	 R
1948      	 between
88        	y
510       	:\n
1588      	 here
61        	^
730       	 K
4894      	!\n
1446      	 You
1896      	 take
50        	S
479       	 G
1532      	 New
1817      	 each
4         	%
1513      	 don
34        	C
388       	ers
33        	B
2272      	 life
1899      	 day
1393      	 while
1290      	 right
1366      	 want
1597      	 And
57960     	 $\
1492      	 help
77        	n
1850      	 best
1852      	 same
821       	 data
261       	er
1537      	 last
2176      	 both
1744      	 think
60        	]
905       	.com
